"id","province_code","city_code","name"
"415","73","7317","KAB. LUWU"
"416","73","7318","KAB. TANA TORAJA"
"417","73","7322","KAB. LUWU UTARA"
"418","73","7324","KAB. LUWU TIMUR"
"419","73","7326","KAB. TORAJA UTARA"
"420","73","7371","KOTA MAKASSAR"
"421","73","7372","KOTA PARE PARE"
"422","73","7373","KOTA PALOPO"
"423","74","7401","KAB. KOLAKA"
"424","74","7402","KAB. KONAWE"
"425","74","7403","KAB. MUNA"
"426","74","7404","KAB. BUTON"
"427","74","7405","KAB. KONAWE SELATAN"
"428","74","7406","KAB. BOMBANA"
"429","74","7407","KAB. WAKATOBI"
"430","74","7408","KAB. KOLAKA UTARA"
"431","74","7409","KAB. KONAWE UTARA"
"432","74","7410","KAB. BUTON UTARA"
"433","74","7411","KAB. KOLAKA TIMUR"
"434","74","7412","KAB. KONAWE KEPULAUAN"
"435","74","7413","KAB. MUNA BARAT"
"436","74","7414","KAB. BUTON TENGAH"
"437","74","7415","KAB. BUTON SELATAN"
"438","74","7471","KOTA KENDARI"
"439","74","7472","KOTA BAU BAU"
"440","75","7501","KAB. GORONTALO"
"441","75","7502","KAB. BOALEMO"
"442","75","7503","KAB. BONE BOLANGO"
"443","75","7504","KAB. PAHUWATO"
"444","75","7505","KAB. GORONTALO UTARA"
"445","75","7571","KOTA GORONTALO"
"446","76","7601","KAB. PASANGKAYU"
"447","76","7602","KAB. MAMUJU"
"448","76","7603","KAB. MAMASA"
"449","76","7604","KAB. POLEWALI MANDAR"
"450","76","7605","KAB. MAJENE"
"451","76","7606","KAB. MAMUJU TENGAH"
"452","81","8101","KAB. MALUKU TENGAH"
"453","81","8102","KAB. MALUKU TENGGARA"
"454","81","8103","KAB. KEPULAUAN TANIMBAR"
"455","81","8104","KAB. BURU"
"456","81","8105","KAB. SERAM BAGIAN TIMUR"
"457","81","8106","KAB. SERAM BAGIAN BARAT"
"458","81","8107","KAB. KEPULAUAN ARU"
"459","81","8108","KAB. MALUKU BARAT DAYA"
"460","81","8109","KAB. BURU SELATAN"
"461","81","8171","KOTA AMBON"
"462","81","8172","KOTA TUAL"
"463","82","8201","KAB. HALMAHERA BARAT"
"464","82","8202","KAB. HALMAHERA TENGAH"
"465","82","8203","KAB. HALMAHERA UTARA"
"466","82","8204","KAB. HALMAHERA SELATAN"
"467","82","8205","KAB. KEPULAUAN SULA"
"468","82","8206","KAB. HALMAHERA TIMUR"
"469","82","8207","KAB. PULAU MOROTAI"
"470","82","8208","KAB. PULAU TALIABU"
"471","82","8271","KOTA TERNATE"
"472","82","8272","KOTA TIDORE KEPULAUAN"
"473","91","9103","KAB. JAYAPURA"
"474","91","9105","KAB. KEPULAUAN YAPEN"
"475","91","9106","KAB. BIAK NUMFOR"
"476","91","9110","KAB. SARMI"
"477","91","9111","KAB. KEEROM"
"478","91","9115","KAB. WAROPEN"
"479","91","9119","KAB. SUPIORI"
"480","91","9120","KAB. MAMBERAMO RAYA"
"481","91","9171","KOTA JAYAPURA"
"482","92","9201","KAB. SORONG"
"483","92","9202","KAB. MANOKWARI"
"484","92","9203","KAB. FAK FAK"
"485","92","9204","KAB. SORONG SELATAN"
"486","92","9205","KAB. RAJA AMPAT"
"487","92","9206","KAB. TELUK BINTUNI"
"488","92","9207","KAB. TELUK WONDAMA"
"489","92","9208","KAB. KAIMANA"
"490","92","9209","KAB. TAMBRAUW"
"491","92","9210","KAB. MAYBRAT"
"492","92","9211","KAB. MANOKWARI SELATAN"
"493","92","9212","KAB. PEGUNUNGAN ARFAK"
"494","92","9271","KOTA SORONG"
"495","93","9301","KAB. MERAUKE"
"496","93","9302","KAB. BOVEN DIGOEL"
"497","93","9303","KAB. MAPPI"
"498","93","9304","KAB. ASMAT"
"499","94","9401","KAB. NABIRE"
"500","94","9402","KAB. PUNCAK JAYA"
"501","94","9403","KAB. PANIAI"
"502","94","9404","KAB. MIMIKA"
"503","94","9405","KAB. PUNCAK"
"504","94","9406","KAB. DOGIYAI"
"505","94","9407","KAB. INTAN JAYA"
"506","94","9408","KAB. DEIYAI"
"507","95","9501","KAB. JAYAWIJAYA"
"508","95","9502","KAB. PEGUNUNGAN BINTANG"
"509","95","9503","KAB. YAHUKIMO"
"510","95","9504","KAB. TOLIKARA"
"511","95","9505","KAB. MAMBERAMO TENGAH"
"512","95","9506","KAB. YALIMO"
"513","95","9507","KAB. LANNY JAYA"
"514","95","9508","KAB. NDUGA"
